Source,Relation,Target,Source_Type,Target_Type,Sentence
IMPORTANCE,encodes,this,GENE,ENZYME,"Lytic polysaccharide monooxygenases ( LPMOs ) can perform oxidative cleavage of glycosidic bonds in carbohydrate polymers ( e.g. , cellulose , chitin ) , making them more accessible to hydrolytic enzymes . While most studies have so far mainly explored the role of LPMOs in a ( plant ) biomass conversion context , alternative roles and paradigms begin to emerge . The AA10 LPMOs are active on chitin and/or cellulose and mostly found in bacteria and in some viruses and archaea . Interestingly , AA10-encoding genes are also encountered in some pathogenic fungi of the Ustilaginomycetes class , such as Ustilago maydis , responsible for corn smut disease . Transcriptomic studies have shown the overexpression of the AA10 gene during the infectious cycle of U. maydis . In fact , U. maydis has a unique AA10 gene that codes for a catalytic domain appended with a C-terminal disordered region . To date , there is no public report on fungal AA10 LPMOs . In this study , we successfully produced the catalytic domain of this LPMO ( UmAA10_cd ) in Pichia pastoris and carried out its biochemical characterization . Our results show that UmAA10_cd oxidatively cleaves α- and β-chitin with C1 regioselectivity and boosts chitin hydrolysis by a GH18 chitinase from U. maydis ( UmGH18A ) . Using a biologically relevant substrate , we show that UmAA10_cd exhibits enzymatic activity on U. maydis fungal cell wall chitin and promotes its hydrolysis by UmGH18A . These results represent an important step toward the understanding of the role of LPMOs in the fungal cell wall remodeling process during the fungal life cycle . IMPORTANCE Lytic polysaccharide monooxygenases ( LPMOs ) have been mainly studied in a biotechnological context for the efficient degradation of recalcitrant polysaccharides . Only recently , alternative roles and paradigms begin to emerge . In this study , we provide evidence that the AA10 LPMO from the phytopathogen Ustilago maydis is active against fungal cell wall chitin . Given that chitin-active LPMOs are commonly found in microbes , it is important to consider fungal cell wall as a potential target for this enigmatic class of enzymes ."
LPMOs,degradation,polysaccharide,ENZYME,SUBSTRATE,"Lytic polysaccharide monooxygenases ( LPMOs ) are copper-containing enzymes that play a key role in the oxidative degradation of various biopolymers such as cellulose and chitin . While hunting for new LPMOs , we identified a new family of proteins , defined here as X325 , in various fungal lineages . The three-dimensional structure of X325 revealed an overall LPMO fold and a His brace with an additional Asp ligand to Cu(II) . Although LPMO-type activity of X325 members was initially expected , we demonstrated that X325 members do not perform oxidative cleavage of polysaccharides , establishing that X325s are not LPMOs . Investigations of the biological role of X325 in the ectomycorrhizal fungus Laccaria bicolor revealed exposure of the X325 protein at the interface between fungal hyphae and tree rootlet cells . Our results provide insights into a family of copper-containing proteins , which is widespread in the fungal kingdom and is evolutionarily related to LPMOs , but has diverged to biological functions other than polysaccharide degradation ."
X325,encodes,LPMOs,GENE,ENZYME,"Lytic polysaccharide monooxygenases ( LPMOs ) are copper-containing enzymes that play a key role in the oxidative degradation of various biopolymers such as cellulose and chitin . While hunting for new LPMOs , we identified a new family of proteins , defined here as X325 , in various fungal lineages . The three-dimensional structure of X325 revealed an overall LPMO fold and a His brace with an additional Asp ligand to Cu(II) . Although LPMO-type activity of X325 members was initially expected , we demonstrated that X325 members do not perform oxidative cleavage of polysaccharides , establishing that X325s are not LPMOs . Investigations of the biological role of X325 in the ectomycorrhizal fungus Laccaria bicolor revealed exposure of the X325 protein at the interface between fungal hyphae and tree rootlet cells . Our results provide insights into a family of copper-containing proteins , which is widespread in the fungal kingdom and is evolutionarily related to LPMOs , but has diverged to biological functions other than polysaccharide degradation ."
LPMO,encodes,LPMOs,GENE,ENZYME,"Lytic polysaccharide monooxygenases ( LPMOs ) are copper-containing enzymes that play a key role in the oxidative degradation of various biopolymers such as cellulose and chitin . While hunting for new LPMOs , we identified a new family of proteins , defined here as X325 , in various fungal lineages . The three-dimensional structure of X325 revealed an overall LPMO fold and a His brace with an additional Asp ligand to Cu(II) . Although LPMO-type activity of X325 members was initially expected , we demonstrated that X325 members do not perform oxidative cleavage of polysaccharides , establishing that X325s are not LPMOs . Investigations of the biological role of X325 in the ectomycorrhizal fungus Laccaria bicolor revealed exposure of the X325 protein at the interface between fungal hyphae and tree rootlet cells . Our results provide insights into a family of copper-containing proteins , which is widespread in the fungal kingdom and is evolutionarily related to LPMOs , but has diverged to biological functions other than polysaccharide degradation ."
enzymes,decay,wood,ENZYME,SUBSTRATE,Methionine oxidation of carbohydrate-active enzymes during white-rot wood decay
employed,emphasize,and,ENZYME,SUBSTRATE,"White-rot fungi employ secreted carbohydrate-active enzymes ( CAZymes ) along with reactive oxygen species ( ROS ) , like hydrogen peroxide ( H2O2 ) , to degrade lignocellulose in wood . H2O2 serves as a co-substrate for key oxidoreductases during the initial decay phase . While the degradation of lignocellulose by CAZymes is well documented , the impact of ROS on the oxidation of the secreted proteins remains unclear , and the identity of the oxidized proteins is unknown . Methionine ( Met ) can be oxidized to Met sulfoxide ( MetO ) or Met sulfone ( MetO2 ) with potential deleterious , antioxidant , or regulatory effects . Other residues , like proline ( Pro ) , can undergo carbonylation . Using the white-rot Pycnoporus cinnabarinus grown on aspen wood , we analyzed the Met content of the secreted proteins and their susceptibility to oxidation combining H218O2 with deep shotgun proteomics . Strikingly , their overall Met content was significantly lower ( 1.4% ) compared to intracellular proteins ( 2.1% ) , a feature conserved in fungi but not in metazoans or plants . We evidenced that a catalase , widespread in white-rot fungi , protects the secreted proteins from oxidation . Our redox proteomics approach allowed the identification of 49 oxidizable Met and 40 oxidizable Pro residues within few secreted proteins , mostly CAZymes . Interestingly , many of them had several oxidized residues localized in hotspots . Some Met , including those in GH7 cellobiohydrolases , were oxidized up to 47% , with a substantial percentage of sulfone ( 13% ) . These Met are conserved in fungal homologs , suggesting important functional roles . Our findings reveal that white-rot fungi safeguard their secreted proteins by minimizing their Met content and by scavenging ROS and pinpoint redox-active residues in CAZymes . IMPORTANCE The study of lignocellulose degradation by fungi is critical for understanding the ecological and industrial implications of wood decay . While carbohydrate-active enzymes ( CAZymes ) play a well-established role in lignocellulose degradation , the impact of hydrogen peroxide ( H2O2 ) on secreted proteins remains unclear . This study aims at evaluating the effect of H2O2 on secreted proteins , focusing on the oxidation of methionine ( Met ) . Using the model white-rot fungi Pycnoporus cinnabarinus grown on aspen wood , we showed that fungi protect their secreted proteins from oxidation by reducing their Met content and utilizing a secreted catalase to scavenge exogenous H2O2 . The research identified key oxidizable Met within secreted CAZymes . Importantly , some Met , like those of GH7 cellobiohydrolases , undergone substantial oxidation levels suggesting important roles in lignocellulose degradation . These findings highlight the adaptive mechanisms employed by white-rot fungi to safeguard their secreted proteins during wood decay and emphasize the importance of these processes in lignocellulose breakdown ."
ROS,encodes,employed,GENE,ENZYME,"White-rot fungi employ secreted carbohydrate-active enzymes ( CAZymes ) along with reactive oxygen species ( ROS ) , like hydrogen peroxide ( H2O2 ) , to degrade lignocellulose in wood . H2O2 serves as a co-substrate for key oxidoreductases during the initial decay phase . While the degradation of lignocellulose by CAZymes is well documented , the impact of ROS on the oxidation of the secreted proteins remains unclear , and the identity of the oxidized proteins is unknown . Methionine ( Met ) can be oxidized to Met sulfoxide ( MetO ) or Met sulfone ( MetO2 ) with potential deleterious , antioxidant , or regulatory effects . Other residues , like proline ( Pro ) , can undergo carbonylation . Using the white-rot Pycnoporus cinnabarinus grown on aspen wood , we analyzed the Met content of the secreted proteins and their susceptibility to oxidation combining H218O2 with deep shotgun proteomics . Strikingly , their overall Met content was significantly lower ( 1.4% ) compared to intracellular proteins ( 2.1% ) , a feature conserved in fungi but not in metazoans or plants . We evidenced that a catalase , widespread in white-rot fungi , protects the secreted proteins from oxidation . Our redox proteomics approach allowed the identification of 49 oxidizable Met and 40 oxidizable Pro residues within few secreted proteins , mostly CAZymes . Interestingly , many of them had several oxidized residues localized in hotspots . Some Met , including those in GH7 cellobiohydrolases , were oxidized up to 47% , with a substantial percentage of sulfone ( 13% ) . These Met are conserved in fungal homologs , suggesting important functional roles . Our findings reveal that white-rot fungi safeguard their secreted proteins by minimizing their Met content and by scavenging ROS and pinpoint redox-active residues in CAZymes . IMPORTANCE The study of lignocellulose degradation by fungi is critical for understanding the ecological and industrial implications of wood decay . While carbohydrate-active enzymes ( CAZymes ) play a well-established role in lignocellulose degradation , the impact of hydrogen peroxide ( H2O2 ) on secreted proteins remains unclear . This study aims at evaluating the effect of H2O2 on secreted proteins , focusing on the oxidation of methionine ( Met ) . Using the model white-rot fungi Pycnoporus cinnabarinus grown on aspen wood , we showed that fungi protect their secreted proteins from oxidation by reducing their Met content and utilizing a secreted catalase to scavenge exogenous H2O2 . The research identified key oxidizable Met within secreted CAZymes . Importantly , some Met , like those of GH7 cellobiohydrolases , undergone substantial oxidation levels suggesting important roles in lignocellulose degradation . These findings highlight the adaptive mechanisms employed by white-rot fungi to safeguard their secreted proteins during wood decay and emphasize the importance of these processes in lignocellulose breakdown ."
H2O2,encodes,employed,GENE,ENZYME,"White-rot fungi employ secreted carbohydrate-active enzymes ( CAZymes ) along with reactive oxygen species ( ROS ) , like hydrogen peroxide ( H2O2 ) , to degrade lignocellulose in wood . H2O2 serves as a co-substrate for key oxidoreductases during the initial decay phase . While the degradation of lignocellulose by CAZymes is well documented , the impact of ROS on the oxidation of the secreted proteins remains unclear , and the identity of the oxidized proteins is unknown . Methionine ( Met ) can be oxidized to Met sulfoxide ( MetO ) or Met sulfone ( MetO2 ) with potential deleterious , antioxidant , or regulatory effects . Other residues , like proline ( Pro ) , can undergo carbonylation . Using the white-rot Pycnoporus cinnabarinus grown on aspen wood , we analyzed the Met content of the secreted proteins and their susceptibility to oxidation combining H218O2 with deep shotgun proteomics . Strikingly , their overall Met content was significantly lower ( 1.4% ) compared to intracellular proteins ( 2.1% ) , a feature conserved in fungi but not in metazoans or plants . We evidenced that a catalase , widespread in white-rot fungi , protects the secreted proteins from oxidation . Our redox proteomics approach allowed the identification of 49 oxidizable Met and 40 oxidizable Pro residues within few secreted proteins , mostly CAZymes . Interestingly , many of them had several oxidized residues localized in hotspots . Some Met , including those in GH7 cellobiohydrolases , were oxidized up to 47% , with a substantial percentage of sulfone ( 13% ) . These Met are conserved in fungal homologs , suggesting important functional roles . Our findings reveal that white-rot fungi safeguard their secreted proteins by minimizing their Met content and by scavenging ROS and pinpoint redox-active residues in CAZymes . IMPORTANCE The study of lignocellulose degradation by fungi is critical for understanding the ecological and industrial implications of wood decay . While carbohydrate-active enzymes ( CAZymes ) play a well-established role in lignocellulose degradation , the impact of hydrogen peroxide ( H2O2 ) on secreted proteins remains unclear . This study aims at evaluating the effect of H2O2 on secreted proteins , focusing on the oxidation of methionine ( Met ) . Using the model white-rot fungi Pycnoporus cinnabarinus grown on aspen wood , we showed that fungi protect their secreted proteins from oxidation by reducing their Met content and utilizing a secreted catalase to scavenge exogenous H2O2 . The research identified key oxidizable Met within secreted CAZymes . Importantly , some Met , like those of GH7 cellobiohydrolases , undergone substantial oxidation levels suggesting important roles in lignocellulose degradation . These findings highlight the adaptive mechanisms employed by white-rot fungi to safeguard their secreted proteins during wood decay and emphasize the importance of these processes in lignocellulose breakdown ."
H218O2,encodes,employed,GENE,ENZYME,"White-rot fungi employ secreted carbohydrate-active enzymes ( CAZymes ) along with reactive oxygen species ( ROS ) , like hydrogen peroxide ( H2O2 ) , to degrade lignocellulose in wood . H2O2 serves as a co-substrate for key oxidoreductases during the initial decay phase . While the degradation of lignocellulose by CAZymes is well documented , the impact of ROS on the oxidation of the secreted proteins remains unclear , and the identity of the oxidized proteins is unknown . Methionine ( Met ) can be oxidized to Met sulfoxide ( MetO ) or Met sulfone ( MetO2 ) with potential deleterious , antioxidant , or regulatory effects . Other residues , like proline ( Pro ) , can undergo carbonylation . Using the white-rot Pycnoporus cinnabarinus grown on aspen wood , we analyzed the Met content of the secreted proteins and their susceptibility to oxidation combining H218O2 with deep shotgun proteomics . Strikingly , their overall Met content was significantly lower ( 1.4% ) compared to intracellular proteins ( 2.1% ) , a feature conserved in fungi but not in metazoans or plants . We evidenced that a catalase , widespread in white-rot fungi , protects the secreted proteins from oxidation . Our redox proteomics approach allowed the identification of 49 oxidizable Met and 40 oxidizable Pro residues within few secreted proteins , mostly CAZymes . Interestingly , many of them had several oxidized residues localized in hotspots . Some Met , including those in GH7 cellobiohydrolases , were oxidized up to 47% , with a substantial percentage of sulfone ( 13% ) . These Met are conserved in fungal homologs , suggesting important functional roles . Our findings reveal that white-rot fungi safeguard their secreted proteins by minimizing their Met content and by scavenging ROS and pinpoint redox-active residues in CAZymes . IMPORTANCE The study of lignocellulose degradation by fungi is critical for understanding the ecological and industrial implications of wood decay . While carbohydrate-active enzymes ( CAZymes ) play a well-established role in lignocellulose degradation , the impact of hydrogen peroxide ( H2O2 ) on secreted proteins remains unclear . This study aims at evaluating the effect of H2O2 on secreted proteins , focusing on the oxidation of methionine ( Met ) . Using the model white-rot fungi Pycnoporus cinnabarinus grown on aspen wood , we showed that fungi protect their secreted proteins from oxidation by reducing their Met content and utilizing a secreted catalase to scavenge exogenous H2O2 . The research identified key oxidizable Met within secreted CAZymes . Importantly , some Met , like those of GH7 cellobiohydrolases , undergone substantial oxidation levels suggesting important roles in lignocellulose degradation . These findings highlight the adaptive mechanisms employed by white-rot fungi to safeguard their secreted proteins during wood decay and emphasize the importance of these processes in lignocellulose breakdown ."
GH7,encodes,employed,GENE,ENZYME,"White-rot fungi employ secreted carbohydrate-active enzymes ( CAZymes ) along with reactive oxygen species ( ROS ) , like hydrogen peroxide ( H2O2 ) , to degrade lignocellulose in wood . H2O2 serves as a co-substrate for key oxidoreductases during the initial decay phase . While the degradation of lignocellulose by CAZymes is well documented , the impact of ROS on the oxidation of the secreted proteins remains unclear , and the identity of the oxidized proteins is unknown . Methionine ( Met ) can be oxidized to Met sulfoxide ( MetO ) or Met sulfone ( MetO2 ) with potential deleterious , antioxidant , or regulatory effects . Other residues , like proline ( Pro ) , can undergo carbonylation . Using the white-rot Pycnoporus cinnabarinus grown on aspen wood , we analyzed the Met content of the secreted proteins and their susceptibility to oxidation combining H218O2 with deep shotgun proteomics . Strikingly , their overall Met content was significantly lower ( 1.4% ) compared to intracellular proteins ( 2.1% ) , a feature conserved in fungi but not in metazoans or plants . We evidenced that a catalase , widespread in white-rot fungi , protects the secreted proteins from oxidation . Our redox proteomics approach allowed the identification of 49 oxidizable Met and 40 oxidizable Pro residues within few secreted proteins , mostly CAZymes . Interestingly , many of them had several oxidized residues localized in hotspots . Some Met , including those in GH7 cellobiohydrolases , were oxidized up to 47% , with a substantial percentage of sulfone ( 13% ) . These Met are conserved in fungal homologs , suggesting important functional roles . Our findings reveal that white-rot fungi safeguard their secreted proteins by minimizing their Met content and by scavenging ROS and pinpoint redox-active residues in CAZymes . IMPORTANCE The study of lignocellulose degradation by fungi is critical for understanding the ecological and industrial implications of wood decay . While carbohydrate-active enzymes ( CAZymes ) play a well-established role in lignocellulose degradation , the impact of hydrogen peroxide ( H2O2 ) on secreted proteins remains unclear . This study aims at evaluating the effect of H2O2 on secreted proteins , focusing on the oxidation of methionine ( Met ) . Using the model white-rot fungi Pycnoporus cinnabarinus grown on aspen wood , we showed that fungi protect their secreted proteins from oxidation by reducing their Met content and utilizing a secreted catalase to scavenge exogenous H2O2 . The research identified key oxidizable Met within secreted CAZymes . Importantly , some Met , like those of GH7 cellobiohydrolases , undergone substantial oxidation levels suggesting important roles in lignocellulose degradation . These findings highlight the adaptive mechanisms employed by white-rot fungi to safeguard their secreted proteins during wood decay and emphasize the importance of these processes in lignocellulose breakdown ."
cellulase,production,cellulose,ENZYME,SUBSTRATE,Characterization of a mycobacterial cellulase and its impact on biofilm- and drug-induced cellulose production
MSMEG_6752,production,cellulose,ENZYME,SUBSTRATE,"It was recently shown that Mycobacterium tuberculosis produces cellulose which forms an integral part of its extracellular polymeric substances within a biofilm set-up . Using Mycobacterium smegmatis as a proxy model organism , we demonstrate that M. smegmatis biofilms treated with purified MSMEG_6752 releases the main cellulose degradation-product ( cellobiose ) , detected by using ionic chromatography , suggesting that MSMEG_6752 encodes a cellulase . Its overexpression in M. smegmatis prevents spontaneous biofilm formation . Moreover , the method reported here allowed detecting cellobiose when M. smegmatis cultures were exposed to a subinhibitory dose of rifampicin . Overall , this study highlights the role of the MSMEG_6752 in managing cellulose production induced during biofilm formation and antibiotic stress response ."
MSMEG_6752,encodes,MSMEG_6752,GENE,ENZYME,"It was recently shown that Mycobacterium tuberculosis produces cellulose which forms an integral part of its extracellular polymeric substances within a biofilm set-up . Using Mycobacterium smegmatis as a proxy model organism , we demonstrate that M. smegmatis biofilms treated with purified MSMEG_6752 releases the main cellulose degradation-product ( cellobiose ) , detected by using ionic chromatography , suggesting that MSMEG_6752 encodes a cellulase . Its overexpression in M. smegmatis prevents spontaneous biofilm formation . Moreover , the method reported here allowed detecting cellobiose when M. smegmatis cultures were exposed to a subinhibitory dose of rifampicin . Overall , this study highlights the role of the MSMEG_6752 in managing cellulose production induced during biofilm formation and antibiotic stress response ."
key,oxidation,in,ENZYME,SUBSTRATE,"Fungal copper radical oxidases ( CROs ) from the Auxiliary Activity family 5 ( AA5 ) constitute a group of metalloenzymes that oxidize a wide panel of natural compounds , such as galactose-containing saccharides or primary alcohols , into product derivatives exhibiting promising biotechnological interests . Despite a well-conserved first copper-coordination sphere and overall fold , some members of the AA5_2 subfamily are incapable of oxidizing galactose and galactosides but conversely efficiently catalyse the oxidation of diverse aliphatic alcohols . The objective of this study was to understand which residues dictate the substrate preferences between alcohol oxidases and galactose oxidases within the AA5_2 subfamily . Based on structural differences and molecular modelling predictions between the alcohol oxidase from Colletotrichum graminicola ( CgrAlcOx ) and the archetypal galactose oxidase from Fusarium graminearum ( FgrGalOx ) , a rational mutagenesis approach was developed to target regions or residues potentially driving the substrate specificity of these enzymes . A set of 21 single and multiple CgrAlcOx variants was produced and characterized leading to the identification of six residues ( W39 , F138 , M173 , F174 , T246 , L302 ) , in the vicinity of the active site , crucial for substrate recognition . Two multiple CgrAlcOx variants , i.e. M4F ( W39F , F138W , M173R and T246Q ) and M6 ( W39F , F138W , M173R , F174Y , T246Q and L302P ) , exhibited a similar affinity for carbohydrate substrates when compared to FgrGalOx . In conclusion , using a rational site-directed mutagenesis approach , we identified key residues involved in the substrate selectivity of AA5_2 enzymes towards galactose-containing saccharides ."
AA5,encodes,key,GENE,ENZYME,"Fungal copper radical oxidases ( CROs ) from the Auxiliary Activity family 5 ( AA5 ) constitute a group of metalloenzymes that oxidize a wide panel of natural compounds , such as galactose-containing saccharides or primary alcohols , into product derivatives exhibiting promising biotechnological interests . Despite a well-conserved first copper-coordination sphere and overall fold , some members of the AA5_2 subfamily are incapable of oxidizing galactose and galactosides but conversely efficiently catalyse the oxidation of diverse aliphatic alcohols . The objective of this study was to understand which residues dictate the substrate preferences between alcohol oxidases and galactose oxidases within the AA5_2 subfamily . Based on structural differences and molecular modelling predictions between the alcohol oxidase from Colletotrichum graminicola ( CgrAlcOx ) and the archetypal galactose oxidase from Fusarium graminearum ( FgrGalOx ) , a rational mutagenesis approach was developed to target regions or residues potentially driving the substrate specificity of these enzymes . A set of 21 single and multiple CgrAlcOx variants was produced and characterized leading to the identification of six residues ( W39 , F138 , M173 , F174 , T246 , L302 ) , in the vicinity of the active site , crucial for substrate recognition . Two multiple CgrAlcOx variants , i.e. M4F ( W39F , F138W , M173R and T246Q ) and M6 ( W39F , F138W , M173R , F174Y , T246Q and L302P ) , exhibited a similar affinity for carbohydrate substrates when compared to FgrGalOx . In conclusion , using a rational site-directed mutagenesis approach , we identified key residues involved in the substrate selectivity of AA5_2 enzymes towards galactose-containing saccharides ."
AA5_2,encodes,key,GENE,ENZYME,"Fungal copper radical oxidases ( CROs ) from the Auxiliary Activity family 5 ( AA5 ) constitute a group of metalloenzymes that oxidize a wide panel of natural compounds , such as galactose-containing saccharides or primary alcohols , into product derivatives exhibiting promising biotechnological interests . Despite a well-conserved first copper-coordination sphere and overall fold , some members of the AA5_2 subfamily are incapable of oxidizing galactose and galactosides but conversely efficiently catalyse the oxidation of diverse aliphatic alcohols . The objective of this study was to understand which residues dictate the substrate preferences between alcohol oxidases and galactose oxidases within the AA5_2 subfamily . Based on structural differences and molecular modelling predictions between the alcohol oxidase from Colletotrichum graminicola ( CgrAlcOx ) and the archetypal galactose oxidase from Fusarium graminearum ( FgrGalOx ) , a rational mutagenesis approach was developed to target regions or residues potentially driving the substrate specificity of these enzymes . A set of 21 single and multiple CgrAlcOx variants was produced and characterized leading to the identification of six residues ( W39 , F138 , M173 , F174 , T246 , L302 ) , in the vicinity of the active site , crucial for substrate recognition . Two multiple CgrAlcOx variants , i.e. M4F ( W39F , F138W , M173R and T246Q ) and M6 ( W39F , F138W , M173R , F174Y , T246Q and L302P ) , exhibited a similar affinity for carbohydrate substrates when compared to FgrGalOx . In conclusion , using a rational site-directed mutagenesis approach , we identified key residues involved in the substrate selectivity of AA5_2 enzymes towards galactose-containing saccharides ."
W39,encodes,key,GENE,ENZYME,"Fungal copper radical oxidases ( CROs ) from the Auxiliary Activity family 5 ( AA5 ) constitute a group of metalloenzymes that oxidize a wide panel of natural compounds , such as galactose-containing saccharides or primary alcohols , into product derivatives exhibiting promising biotechnological interests . Despite a well-conserved first copper-coordination sphere and overall fold , some members of the AA5_2 subfamily are incapable of oxidizing galactose and galactosides but conversely efficiently catalyse the oxidation of diverse aliphatic alcohols . The objective of this study was to understand which residues dictate the substrate preferences between alcohol oxidases and galactose oxidases within the AA5_2 subfamily . Based on structural differences and molecular modelling predictions between the alcohol oxidase from Colletotrichum graminicola ( CgrAlcOx ) and the archetypal galactose oxidase from Fusarium graminearum ( FgrGalOx ) , a rational mutagenesis approach was developed to target regions or residues potentially driving the substrate specificity of these enzymes . A set of 21 single and multiple CgrAlcOx variants was produced and characterized leading to the identification of six residues ( W39 , F138 , M173 , F174 , T246 , L302 ) , in the vicinity of the active site , crucial for substrate recognition . Two multiple CgrAlcOx variants , i.e. M4F ( W39F , F138W , M173R and T246Q ) and M6 ( W39F , F138W , M173R , F174Y , T246Q and L302P ) , exhibited a similar affinity for carbohydrate substrates when compared to FgrGalOx . In conclusion , using a rational site-directed mutagenesis approach , we identified key residues involved in the substrate selectivity of AA5_2 enzymes towards galactose-containing saccharides ."
F138,encodes,key,GENE,ENZYME,"Fungal copper radical oxidases ( CROs ) from the Auxiliary Activity family 5 ( AA5 ) constitute a group of metalloenzymes that oxidize a wide panel of natural compounds , such as galactose-containing saccharides or primary alcohols , into product derivatives exhibiting promising biotechnological interests . Despite a well-conserved first copper-coordination sphere and overall fold , some members of the AA5_2 subfamily are incapable of oxidizing galactose and galactosides but conversely efficiently catalyse the oxidation of diverse aliphatic alcohols . The objective of this study was to understand which residues dictate the substrate preferences between alcohol oxidases and galactose oxidases within the AA5_2 subfamily . Based on structural differences and molecular modelling predictions between the alcohol oxidase from Colletotrichum graminicola ( CgrAlcOx ) and the archetypal galactose oxidase from Fusarium graminearum ( FgrGalOx ) , a rational mutagenesis approach was developed to target regions or residues potentially driving the substrate specificity of these enzymes . A set of 21 single and multiple CgrAlcOx variants was produced and characterized leading to the identification of six residues ( W39 , F138 , M173 , F174 , T246 , L302 ) , in the vicinity of the active site , crucial for substrate recognition . Two multiple CgrAlcOx variants , i.e. M4F ( W39F , F138W , M173R and T246Q ) and M6 ( W39F , F138W , M173R , F174Y , T246Q and L302P ) , exhibited a similar affinity for carbohydrate substrates when compared to FgrGalOx . In conclusion , using a rational site-directed mutagenesis approach , we identified key residues involved in the substrate selectivity of AA5_2 enzymes towards galactose-containing saccharides ."
M173,encodes,key,GENE,ENZYME,"Fungal copper radical oxidases ( CROs ) from the Auxiliary Activity family 5 ( AA5 ) constitute a group of metalloenzymes that oxidize a wide panel of natural compounds , such as galactose-containing saccharides or primary alcohols , into product derivatives exhibiting promising biotechnological interests . Despite a well-conserved first copper-coordination sphere and overall fold , some members of the AA5_2 subfamily are incapable of oxidizing galactose and galactosides but conversely efficiently catalyse the oxidation of diverse aliphatic alcohols . The objective of this study was to understand which residues dictate the substrate preferences between alcohol oxidases and galactose oxidases within the AA5_2 subfamily . Based on structural differences and molecular modelling predictions between the alcohol oxidase from Colletotrichum graminicola ( CgrAlcOx ) and the archetypal galactose oxidase from Fusarium graminearum ( FgrGalOx ) , a rational mutagenesis approach was developed to target regions or residues potentially driving the substrate specificity of these enzymes . A set of 21 single and multiple CgrAlcOx variants was produced and characterized leading to the identification of six residues ( W39 , F138 , M173 , F174 , T246 , L302 ) , in the vicinity of the active site , crucial for substrate recognition . Two multiple CgrAlcOx variants , i.e. M4F ( W39F , F138W , M173R and T246Q ) and M6 ( W39F , F138W , M173R , F174Y , T246Q and L302P ) , exhibited a similar affinity for carbohydrate substrates when compared to FgrGalOx . In conclusion , using a rational site-directed mutagenesis approach , we identified key residues involved in the substrate selectivity of AA5_2 enzymes towards galactose-containing saccharides ."
F174,encodes,key,GENE,ENZYME,"Fungal copper radical oxidases ( CROs ) from the Auxiliary Activity family 5 ( AA5 ) constitute a group of metalloenzymes that oxidize a wide panel of natural compounds , such as galactose-containing saccharides or primary alcohols , into product derivatives exhibiting promising biotechnological interests . Despite a well-conserved first copper-coordination sphere and overall fold , some members of the AA5_2 subfamily are incapable of oxidizing galactose and galactosides but conversely efficiently catalyse the oxidation of diverse aliphatic alcohols . The objective of this study was to understand which residues dictate the substrate preferences between alcohol oxidases and galactose oxidases within the AA5_2 subfamily . Based on structural differences and molecular modelling predictions between the alcohol oxidase from Colletotrichum graminicola ( CgrAlcOx ) and the archetypal galactose oxidase from Fusarium graminearum ( FgrGalOx ) , a rational mutagenesis approach was developed to target regions or residues potentially driving the substrate specificity of these enzymes . A set of 21 single and multiple CgrAlcOx variants was produced and characterized leading to the identification of six residues ( W39 , F138 , M173 , F174 , T246 , L302 ) , in the vicinity of the active site , crucial for substrate recognition . Two multiple CgrAlcOx variants , i.e. M4F ( W39F , F138W , M173R and T246Q ) and M6 ( W39F , F138W , M173R , F174Y , T246Q and L302P ) , exhibited a similar affinity for carbohydrate substrates when compared to FgrGalOx . In conclusion , using a rational site-directed mutagenesis approach , we identified key residues involved in the substrate selectivity of AA5_2 enzymes towards galactose-containing saccharides ."
T246,encodes,key,GENE,ENZYME,"Fungal copper radical oxidases ( CROs ) from the Auxiliary Activity family 5 ( AA5 ) constitute a group of metalloenzymes that oxidize a wide panel of natural compounds , such as galactose-containing saccharides or primary alcohols , into product derivatives exhibiting promising biotechnological interests . Despite a well-conserved first copper-coordination sphere and overall fold , some members of the AA5_2 subfamily are incapable of oxidizing galactose and galactosides but conversely efficiently catalyse the oxidation of diverse aliphatic alcohols . The objective of this study was to understand which residues dictate the substrate preferences between alcohol oxidases and galactose oxidases within the AA5_2 subfamily . Based on structural differences and molecular modelling predictions between the alcohol oxidase from Colletotrichum graminicola ( CgrAlcOx ) and the archetypal galactose oxidase from Fusarium graminearum ( FgrGalOx ) , a rational mutagenesis approach was developed to target regions or residues potentially driving the substrate specificity of these enzymes . A set of 21 single and multiple CgrAlcOx variants was produced and characterized leading to the identification of six residues ( W39 , F138 , M173 , F174 , T246 , L302 ) , in the vicinity of the active site , crucial for substrate recognition . Two multiple CgrAlcOx variants , i.e. M4F ( W39F , F138W , M173R and T246Q ) and M6 ( W39F , F138W , M173R , F174Y , T246Q and L302P ) , exhibited a similar affinity for carbohydrate substrates when compared to FgrGalOx . In conclusion , using a rational site-directed mutagenesis approach , we identified key residues involved in the substrate selectivity of AA5_2 enzymes towards galactose-containing saccharides ."
